[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Output Date	26/02/2025
Output Time	23:42:03

[File Information]
Type	Data File
Generated	26/02/2025 22:51:34
Generated by	System Administrator
Modified	26/02/2025 23:42:03
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 22:52:00
Sample Type	0:Unknown
Level	0
Sample Name	CHA REAL
Sample ID	CHA REAL
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	18
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	88
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      4689
Interval(msec)	640
Start Time(min)	0
End Time(min)	50,0053
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	254
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	0
0,11733	3
0,12800	8
0,13867	-2
0,14933	4
0,16000	6
0,17067	-3
0,18133	-5
0,19200	7
0,20267	16
0,21333	6
0,22400	8
0,23467	5
0,24533	1
0,25600	-8
0,26667	-0
0,27733	-1
0,28800	-6
0,29867	1
0,30933	-1
0,32000	-4
0,33067	5
0,34133	-2
0,35200	-9
0,36267	7
0,37333	2
0,38400	-4
0,39467	-5
0,40533	0
0,41600	3
0,42667	5
0,43733	5
0,44800	3
0,45867	4
0,46933	2
0,48000	-2
0,49067	4
0,50133	6
0,51200	0
0,52267	0
0,53333	3
0,54400	3
0,55467	-3
0,56533	-2
0,57600	0
0,58667	2
0,59733	1
0,60800	6
0,61867	1
0,62933	-1
0,64000	-2
0,65067	-4
0,66133	-4
0,67200	-4
0,68267	-8
0,69333	-9
0,70400	-5
0,71467	-0
0,72533	4
0,73600	5
0,74667	-4
0,75733	-5
0,76800	-1
0,77867	1
0,78933	-1
0,80000	1
0,81067	3
0,82133	1
0,83200	-2
0,84267	-2
0,85333	3
0,86400	1
0,87467	-1
0,88533	5
0,89600	1
0,90667	-3
0,91733	4
0,92800	3
0,93867	14
0,94933	9
0,96000	2
0,97067	-0
0,98133	13
0,99200	12
1,00267	6
1,01333	5
1,02400	6
1,03467	6
1,04533	7
1,05600	4
1,06667	5
1,07733	1
1,08800	-3
1,09867	3
1,10933	0
1,12000	-7
1,13067	-3
1,14133	1
1,15200	15
1,16267	25
1,17333	40
1,18400	70
1,19467	112
1,20533	175
1,21600	263
1,22667	379
1,23733	505
1,24800	643
1,25867	780
1,26933	924
1,28000	1057
1,29067	1182
1,30133	1323
1,31200	1473
1,32267	1638
1,33333	1843
1,34400	2055
1,35467	2269
1,36533	2481
1,37600	2810
1,38667	3504
1,39733	4815
1,40800	6599
1,41867	8481
1,42933	9953
1,44000	10860
1,45067	11462
1,46133	12287
1,47200	13612
1,48267	15217
1,49333	16478
1,50400	16910
1,51467	16746
1,52533	16490
1,53600	16608
1,54667	17286
1,55733	18443
1,56800	19769
1,57867	21120
1,58933	23417
1,60000	29595
1,61067	42907
1,62133	63775
1,63200	88581
1,64267	111944
1,65333	129334
1,66400	138556
1,67467	140094
1,68533	135780
1,69600	127316
1,70667	116154
1,71733	103673
1,72800	91766
1,73867	82527
1,74933	75946
1,76000	68788
1,77067	59821
1,78133	50803
1,79200	44005
1,80267	40606
1,81333	41097
1,82400	46238
1,83467	56034
1,84533	67640
1,85600	76487
1,86667	79486
1,87733	76794
1,88800	70690
1,89867	63509
1,90933	56782
1,92000	51128
1,93067	46672
1,94133	43095
1,95200	39880
1,96267	36592
1,97333	33164
1,98400	29796
1,99467	26889
2,00533	24969
2,01600	24923
2,02667	28015
2,03733	35407
2,04800	46930
2,05867	60731
2,06933	73615
2,08000	82829
2,09067	86972
2,10133	86249
2,11200	82103
2,12267	76551
2,13333	71644
2,14400	68731
2,15467	67955
2,16533	68249
2,17600	67989
2,18667	66002
2,19733	62021
2,20800	56652
2,21867	50771
2,22933	45226
2,24000	40447
2,25067	36612
2,26133	33708
2,27200	31646
2,28267	30237
2,29333	29253
2,30400	28382
2,31467	27354
2,32533	26038
2,33600	24442
2,34667	22703
2,35733	21004
2,36800	19503
2,37867	18253
2,38933	17275
2,40000	16517
2,41067	15952
2,42133	15546
2,43200	15282
2,44267	15145
2,45333	15099
2,46400	15081
2,47467	15024
2,48533	14881
2,49600	14631
2,50667	14289
2,51733	13907
2,52800	13539
2,53867	13294
2,54933	13273
2,56000	13620
2,57067	14547
2,58133	16200
2,59200	18619
2,60267	21634
2,61333	24784
2,62400	27508
2,63467	29268
2,64533	29782
2,65600	29071
2,66667	27384
2,67733	25133
2,68800	22691
2,69867	20347
2,70933	18271
2,72000	16550
2,73067	15206
2,74133	14209
2,75200	13523
2,76267	13102
2,77333	12903
2,78400	12896
2,79467	13101
2,80533	13648
2,81600	14664
2,82667	16265
2,83733	18460
2,84800	21126
2,85867	23877
2,86933	26294
2,88000	27991
2,89067	28750
2,90133	28538
2,91200	27480
2,92267	25793
2,93333	23744
2,94400	21569
2,95467	19483
2,96533	17636
2,97600	16127
2,98667	14947
2,99733	14062
3,00800	13383
3,01867	12823
3,02933	12280
3,04000	11741
3,05067	11194
3,06133	10654
3,07200	10156
3,08267	9717
3,09333	9367
3,10400	9092
3,11467	8897
3,12533	8776
3,13600	8751
3,14667	8846
3,15733	9137
3,16800	9781
3,17867	11059
3,18933	13420
3,20000	17452
3,21067	23915
3,22133	33468
3,23200	46505
3,24267	62789
3,25333	81289
3,26400	100320
3,27467	117547
3,28533	130863
3,29600	138613
3,30667	140181
3,31733	135899
3,32800	126858
3,33867	114670
3,34933	100840
3,36000	86764
3,37067	73376
3,38133	61339
3,39200	50875
3,40267	42059
3,41333	34800
3,42400	28942
3,43467	24304
3,44533	20657
3,45600	17881
3,46667	15789
3,47733	14298
3,48800	13295
3,49867	12667
3,50933	12285
3,52000	11931
3,53067	11384
3,54133	10625
3,55200	9775
3,56267	8995
3,57333	8347
3,58400	7883
3,59467	7568
3,60533	7395
3,61600	7321
3,62667	7337
3,63733	7430
3,64800	7568
3,65867	7745
3,66933	7949
3,68000	8156
3,69067	8363
3,70133	8573
3,71200	8785
3,72267	9009
3,73333	9236
3,74400	9483
3,75467	9742
3,76533	10021
3,77600	10308
3,78667	10577
3,79733	10825
3,80800	11025
3,81867	11159
3,82933	11223
3,84000	11208
3,85067	11110
3,86133	10943
3,87200	10713
3,88267	10438
3,89333	10137
3,90400	9824
3,91467	9505
3,92533	9209
3,93600	8922
3,94667	8672
3,95733	8432
3,96800	8233
3,97867	8071
3,98933	7956
4,00000	7908
4,01067	7947
4,02133	8119
4,03200	8487
4,04267	9111
4,05333	10060
4,06400	11396
4,07467	13087
4,08533	15070
4,09600	17169
4,10667	19159
4,11733	20800
4,12800	21885
4,13867	22311
4,14933	22068
4,16000	21263
4,17067	20040
4,18133	18594
4,19200	17094
4,20267	15700
4,21333	14481
4,22400	13521
4,23467	12822
4,24533	12399
4,25600	12268
4,26667	12405
4,27733	12836
4,28800	13535
4,29867	14484
4,30933	15625
4,32000	16915
4,33067	18277
4,34133	19603
4,35200	20790
4,36267	21757
4,37333	22425
4,38400	22763
4,39467	22756
4,40533	22433
4,41600	21827
4,42667	21003
4,43733	20020
4,44800	18966
4,45867	17862
4,46933	16777
4,48000	15723
4,49067	14744
4,50133	13826
4,51200	12980
4,52267	12213
4,53333	11506
4,54400	10876
4,55467	10310
4,56533	9817
4,57600	9405
4,58667	9087
4,59733	8869
4,60800	8743
4,61867	8699
4,62933	8741
4,64000	8862
4,65067	9016
4,66133	9167
4,67200	9290
4,68267	9352
4,69333	9343
4,70400	9254
4,71467	9084
4,72533	8859
4,73600	8606
4,74667	8333
4,75733	8083
4,76800	7853
4,77867	7664
4,78933	7524
4,80000	7416
4,81067	7344
4,82133	7312
4,83200	7302
4,84267	7321
4,85333	7355
4,86400	7393
4,87467	7434
4,88533	7476
4,89600	7517
4,90667	7568
4,91733	7612
4,92800	7658
4,93867	7696
4,94933	7739
4,96000	7773
