[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Output Date	27/02/2025
Output Time	03:54:27

[File Information]
Type	Data File
Generated	27/02/2025 03:03:59
Generated by	System Administrator
Modified	27/02/2025 03:54:26
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 03:04:23
Sample Type	0:Unknown
Level	0
Sample Name	CHIMARRAO 2
Sample ID	CHIMARRAO 2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	23
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	89
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      4689
Interval(msec)	640
Start Time(min)	0
End Time(min)	50,0053
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	254
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	-6
0,11733	1
0,12800	-2
0,13867	-4
0,14933	-0
0,16000	-4
0,17067	-6
0,18133	-10
0,19200	1
0,20267	3
0,21333	0
0,22400	-0
0,23467	-7
0,24533	-0
0,25600	-6
0,26667	-1
0,27733	5
0,28800	-3
0,29867	-5
0,30933	-2
0,32000	3
0,33067	0
0,34133	-4
0,35200	-3
0,36267	1
0,37333	-0
0,38400	5
0,39467	10
0,40533	11
0,41600	8
0,42667	7
0,43733	3
0,44800	7
0,45867	3
0,46933	10
0,48000	18
0,49067	7
0,50133	5
0,51200	2
0,52267	7
0,53333	9
0,54400	-0
0,55467	0
0,56533	-1
0,57600	1
0,58667	8
0,59733	10
0,60800	3
0,61867	10
0,62933	-1
0,64000	-1
0,65067	-3
0,66133	-5
0,67200	-10
0,68267	-1
0,69333	-5
0,70400	-1
0,71467	-9
0,72533	-2
0,73600	-3
0,74667	-5
0,75733	2
0,76800	-3
0,77867	-6
0,78933	-1
0,80000	-6
0,81067	-1
0,82133	-6
0,83200	-2
0,84267	-3
0,85333	-8
0,86400	-11
0,87467	-16
0,88533	-12
0,89600	-13
0,90667	-11
0,91733	-14
0,92800	-10
0,93867	-12
0,94933	-9
0,96000	-11
0,97067	-10
0,98133	-9
0,99200	-1
1,00267	-0
1,01333	-2
1,02400	-1
1,03467	-3
1,04533	-7
1,05600	-16
1,06667	-14
1,07733	-13
1,08800	-13
1,09867	-16
1,10933	-15
1,12000	-6
1,13067	-10
1,14133	-0
1,15200	10
1,16267	23
1,17333	27
1,18400	33
1,19467	38
1,20533	48
1,21600	60
1,22667	68
1,23733	68
1,24800	76
1,25867	77
1,26933	79
1,28000	83
1,29067	93
1,30133	108
1,31200	134
1,32267	190
1,33333	262
1,34400	343
1,35467	460
1,36533	690
1,37600	1167
1,38667	2020
1,39733	3137
1,40800	4293
1,41867	5267
1,42933	6050
1,44000	6913
1,45067	8240
1,46133	10230
1,47200	12630
1,48267	14785
1,49333	16300
1,50400	17259
1,51467	17887
1,52533	18371
1,53600	18787
1,54667	19092
1,55733	19170
1,56800	18920
1,57867	18300
1,58933	17376
1,60000	16305
1,61067	15233
1,62133	14254
1,63200	13335
1,64267	12370
1,65333	11260
1,66400	9981
1,67467	8667
1,68533	7514
1,69600	6705
1,70667	6417
1,71733	7072
1,72800	9957
1,73867	16255
1,74933	23301
1,76000	26952
1,77067	26575
1,78133	24024
1,79200	21206
1,80267	19064
1,81333	17656
1,82400	16666
1,83467	15833
1,84533	15122
1,85600	14556
1,86667	14213
1,87733	14078
1,88800	14111
1,89867	14243
1,90933	14339
1,92000	14293
1,93067	13994
1,94133	13419
1,95200	12580
1,96267	11565
1,97333	10529
1,98400	9686
1,99467	9530
2,00533	11098
2,01600	16095
2,02667	26229
2,03733	41615
2,04800	60154
2,05867	77795
2,06933	90723
2,08000	96861
2,09067	96177
2,10133	90196
2,11200	80989
2,12267	70629
2,13333	60585
2,14400	51697
2,15467	44184
2,16533	37905
2,17600	32680
2,18667	28386
2,19733	25099
2,20800	22865
2,21867	21569
2,22933	20860
2,24000	20215
2,25067	19270
2,26133	17897
2,27200	16267
2,28267	14662
2,29333	13278
2,30400	12134
2,31467	11150
2,32533	10259
2,33600	9398
2,34667	8585
2,35733	7823
2,36800	7157
2,37867	6606
2,38933	6200
2,40000	5954
2,41067	5866
2,42133	5939
2,43200	6141
2,44267	6405
2,45333	6685
2,46400	6918
2,47467	7065
2,48533	7107
2,49600	7050
2,50667	6902
2,51733	6681
2,52800	6446
2,53867	6243
2,54933	6116
2,56000	6122
2,57067	6325
2,58133	6729
2,59200	7267
2,60267	7837
2,61333	8291
2,62400	8513
2,63467	8435
2,64533	8082
2,65600	7529
2,66667	6878
2,67733	6219
2,68800	5636
2,69867	5154
2,70933	4794
2,72000	4564
2,73067	4459
2,74133	4457
2,75200	4525
2,76267	4640
2,77333	4798
2,78400	5035
2,79467	5433
2,80533	6092
2,81600	7089
2,82667	8423
2,83733	10015
2,84800	11630
2,85867	13021
2,86933	13954
2,88000	14301
2,89067	14060
2,90133	13321
2,91200	12249
2,92267	11031
2,93333	9836
2,94400	8804
2,95467	8039
2,96533	7545
2,97600	7297
2,98667	7216
2,99733	7171
3,00800	7086
3,01867	6872
3,02933	6533
3,04000	6092
3,05067	5613
3,06133	5146
3,07200	4708
3,08267	4356
3,09333	4093
3,10400	3908
3,11467	3794
3,12533	3733
3,13600	3702
3,14667	3715
3,15733	3763
3,16800	3838
3,17867	3936
3,18933	4027
3,20000	4115
3,21067	4162
3,22133	4185
3,23200	4205
3,24267	4236
3,25333	4313
3,26400	4464
3,27467	4716
3,28533	5092
3,29600	5576
3,30667	6148
3,31733	6774
3,32800	7382
3,33867	7905
3,34933	8264
3,36000	8415
3,37067	8336
3,38133	8031
3,39200	7549
3,40267	6962
3,41333	6335
3,42400	5727
3,43467	5172
3,44533	4712
3,45600	4362
3,46667	4130
3,47733	4007
3,48800	3988
3,49867	4012
3,50933	3986
3,52000	3794
3,53067	3466
3,54133	3079
3,55200	2714
3,56267	2421
3,57333	2209
3,58400	2071
3,59467	1985
3,60533	1951
3,61600	1956
3,62667	1985
3,63733	2043
3,64800	2128
3,65867	2242
3,66933	2389
3,68000	2569
3,69067	2788
3,70133	3047
3,71200	3364
3,72267	3732
3,73333	4153
3,74400	4635
3,75467	5129
3,76533	5652
3,77600	6179
3,78667	6672
3,79733	7105
3,80800	7450
3,81867	7687
3,82933	7809
3,84000	7814
3,85067	7699
3,86133	7476
3,87200	7174
3,88267	6800
3,89333	6406
3,90400	5974
3,91467	5557
3,92533	5157
3,93600	4792
3,94667	4479
3,95733	4213
3,96800	4020
3,97867	3908
3,98933	3879
4,00000	3934
4,01067	4084
4,02133	4339
4,03200	4709
4,04267	5180
4,05333	5734
4,06400	6350
4,07467	6965
4,08533	7523
4,09600	7964
4,10667	8243
4,11733	8332
4,12800	8208
4,13867	7928
4,14933	7527
4,16000	7042
4,17067	6537
4,18133	6060
4,19200	5620
4,20267	5240
4,21333	4930
4,22400	4690
4,23467	4497
4,24533	4356
4,25600	4258
4,26667	4183
4,27733	4127
4,28800	4083
4,29867	4047
4,30933	4012
4,32000	3974
4,33067	3924
4,34133	3875
4,35200	3824
4,36267	3764
4,37333	3702
4,38400	3647
4,39467	3593
4,40533	3544
4,41600	3511
4,42667	3474
4,43733	3457
4,44800	3443
4,45867	3428
4,46933	3428
4,48000	3426
4,49067	3437
4,50133	3436
4,51200	3420
4,52267	3413
4,53333	3400
4,54400	3390
4,55467	3371
4,56533	3366
4,57600	3367
4,58667	3384
4,59733	3413
4,60800	3460
4,61867	3523
4,62933	3595
4,64000	3662
4,65067	3721
4,66133	3777
4,67200	3810
4,68267	3830
4,69333	3838
4,70400	3829
4,71467	3831
4,72533	3822
4,73600	3824
4,74667	3840
4,75733	3862
